pump_number;rotulo;agent_number;behavior_group;demand_group;long;lat;area
4;URUBU - 001;3;NC;D1;-49.61889;-10.839177;192
5;URUBU - 002;4;NC;D1;-49.553783;-10.83458;900
6;URUBU - 003;5;NC;D1;-49.695503;-10.844513;305
7;URUBU - 004;5;NC;D1;-49.69921;-10.844733;0
8;URUBU - 005;6;NC;D1;-49.609436;-10.853473;544.88
9;URUBU - 006;7;CP;D1;-49.588825;-10.860864;0
10;URUBU - 007;7;CP;D1;-49.598557;-10.867343;400
11;URUBU - 008;8;CI;D1;-49.753574;-10.826344;450
13;URUBU - 009;9;CI;D1;-49.587646;-10.870381;0
12;URUBU - 010;9;CI;D1;-49.588757;-10.860949;0
14;URUBU - 011;10;CI;D1;-49.71649;-10.829914;0
15;URUBU - 012;11;CP;D1;-49.638912;-10.863696;1180
16;URUBU - 014;12;NC;D1;-49.609585;-10.853259;544.88
17;URUBU - 015;13;CI;D1;-49.666634;-10.872875;0
19;URUBU - 016;14;NC;D2;-49.42611;-10.78303;400
21;URUBU - 017;14;NC;D2;-49.730613;-10.820501;0
20;URUBU - 018;15;CI;D2;-49.730644;-10.820335;169
22;URUBU - 019;15;CI;D2;-49.746475;-10.808552;0
23;URUBU - 020;14;NC;D2;-49.676115;-10.863916;350
24;URUBU - 021;16;CI;D2;-49.746464;-10.808526;3200
25;URUBU - 022;14;NC;D2;-49.4633;-10.8149;0
26;URUBU - 023;17;CP;D2;-49.74645;-10.808519;3200
27;URUBU - 025;18;NC;D2;-49.692554;-10.848582;305
29;URUBU - 026;20;NC;D2;-49.693214;-10.855825;0
32;URUBU - 030;22;NC;D2;-49.710102;-10.834447;345
31;URUBU - 031;21;CP;D2;-49.67606;-10.863947;350
30;URUBU - 032;21;CP;D2;-49.688923;-10.860516;0
33;URUBU - 033;23;NC;D2;-49.753597;-10.826273;450
35;URUBU - 034;23;NC;D2;-49.792397;-10.832636;500
36;URUBU - 035;24;NC;D3;-49.716698;-10.824729;250
37;URUBU - 036;24;NC;D3;-49.72786;-10.819728;240
34;URUBU - 037;23;NC;D2;-49.792538;-10.83259;500
1;URUBU - 038;1;CI;D1;-49.515946;-10.841826;900
28;URUBU - 039;19;NC;D2;-49.74763;-10.825519;450
18;URUBU - 040;13;CI;D2;-49.666805;-10.872936;450
2;URUBU - 041;2;NC;D1;-49.666954;-10.873199;704
3;URUBU - 042;3;NC;D1;-49.638924;-10.863574;1180
